season,specie,sex,age(month),temperature,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,Disease
3,8,6,85,39.25,32,20,36,30,35,36,14,7
4,8,6,37,39.25,49,19,34,54,41,28,35,0
12,8,6,26,39.25,34,52,37,14,33,14,50,5
3,2,6,105,38.65,26,55,46,18,24,14,14,15
12,8,6,63,39.25,53,32,16,40,14,37,43,10
3,8,6,33,39.25,17,14,42,32,24,51,43,1
3,8,9,85,39.25,32,23,27,39,51,38,14,11
12,2,9,92,38.65,18,55,54,32,43,38,31,13
12,8,6,1,39.25,20,30,36,32,43,28,14,7
3,2,6,32,38.65,46,55,26,18,14,31,43,15
4,2,6,33,38.65,36,30,20,32,14,24,21,7
3,8,6,100,39.25,26,55,46,18,54,28,14,15
3,2,6,60,38.65,55,18,32,54,14,22,14,13
3,8,9,111,39.25,34,37,39,52,37,47,44,5
3,2,6,106,38.65,32,36,30,20,41,35,43,7
12,2,6,121,38.65,34,52,37,39,48,36,50,5
12,8,9,48,39.25,49,19,34,54,22,14,24,0
12,2,6,61,38.65,49,19,34,54,25,21,31,0
4,8,9,36,39.25,26,55,46,18,50,29,47,15
12,8,6,92,39.25,36,20,32,14,14,50,14,7
12,8,9,116,39.25,32,39,27,23,37,51,48,11
3,2,6,7,38.65,53,16,40,14,43,31,14,10
12,8,9,63,39.25,32,20,36,30,37,24,51,7
3,8,6,92,39.25,23,39,32,27,29,36,14,11
3,2,9,7,38.65,18,54,32,55,44,29,21,13
4,8,9,5,39.25,37,34,52,39,47,14,51,5
4,2,6,44,38.65,53,16,40,32,14,14,35,10
3,2,6,41,38.65,45,32,42,17,14,14,50,1
4,8,6,59,39.25,32,55,18,54,31,48,21,13
3,2,9,102,38.65,32,36,20,30,41,43,51,7
4,2,6,86,38.65,19,34,49,54,22,14,31,0
12,8,6,68,39.25,53,16,40,32,51,14,28,10
12,8,9,115,39.25,37,52,39,34,35,25,38,5
3,2,6,79,38.65,32,20,36,30,35,14,14,7
12,2,9,29,38.65,23,39,32,27,41,21,44,11
12,2,6,56,38.65,17,45,42,32,14,37,28,1
12,2,6,35,38.65,34,52,37,39,54,44,24,5
3,8,6,61,39.25,30,36,32,20,25,14,14,7
4,2,6,87,38.65,17,45,42,32,35,38,14,1
4,2,6,99,38.65,45,28,32,42,24,38,22,1
12,8,6,120,39.25,42,32,17,45,37,31,47,1
3,8,6,7,39.25,19,54,49,34,54,31,14,0
3,8,6,105,39.25,32,20,36,30,47,47,14,7
4,2,6,78,38.65,30,20,36,14,33,54,21,7
4,8,6,78,39.25,37,39,34,52,31,14,31,5
3,2,9,40,38.65,32,20,36,30,14,14,29,7
3,2,6,49,38.65,32,14,27,23,14,31,14,11
4,8,6,100,39.25,53,25,40,32,28,14,29,10
12,8,6,90,39.25,49,54,34,19,25,14,50,0
4,8,6,80,39.25,40,32,53,16,14,28,14,10
12,8,6,63,39.25,16,40,32,53,29,33,29,10
3,8,6,26,39.25,17,45,42,32,14,33,47,1
12,2,6,101,38.65,23,27,39,14,25,22,35,11
3,8,6,59,39.25,17,45,42,32,33,54,14,1
12,8,6,72,39.25,53,16,40,32,21,33,44,10
12,2,6,108,38.65,34,49,19,54,35,14,14,0
4,2,6,74,38.65,40,14,53,16,14,31,48,10
3,2,6,54,38.65,17,44,32,45,28,28,51,1
4,2,9,67,38.65,54,55,32,18,35,14,47,13
12,8,6,86,39.25,32,17,14,45,43,43,14,1
4,8,9,55,39.25,39,23,32,27,48,25,47,11
3,8,6,60,39.25,26,55,46,18,14,14,14,15
4,2,9,43,38.65,34,49,54,19,54,41,36,0
4,2,6,83,38.65,17,45,28,32,51,35,37,1
3,8,6,10,39.25,34,52,37,31,47,14,21,5
3,2,9,39,38.65,19,49,54,34,54,21,14,0
3,8,6,78,39.25,46,18,26,55,50,48,44,15
3,2,6,97,38.65,32,55,18,54,14,36,37,13
3,8,6,3,39.25,49,14,34,54,33,44,44,0
3,2,6,109,38.65,41,42,17,32,29,54,35,1
3,8,6,97,39.25,17,45,42,32,14,14,44,1
3,8,6,18,39.25,32,20,36,30,41,14,33,7
12,8,6,69,39.25,36,30,20,32,35,37,41,7
3,2,6,16,38.65,18,55,48,54,28,24,33,13
12,2,6,111,38.65,36,14,32,20,54,21,41,7
4,2,6,78,38.65,45,32,42,17,14,25,33,1
4,2,6,22,38.65,34,52,37,39,41,29,54,5
12,2,6,28,38.65,17,32,14,42,54,28,14,1
4,2,9,49,38.65,23,39,32,27,35,51,51,11
3,8,6,1,39.25,47,32,36,20,48,36,47,7
12,8,6,9,39.25,45,32,17,42,33,14,50,1
4,2,6,1,38.65,39,34,37,52,54,14,41,5
12,8,9,107,39.25,23,39,32,27,44,14,36,11
3,2,6,81,38.65,17,45,32,42,29,24,14,1
4,8,6,52,39.25,32,36,20,30,54,14,14,7
12,8,6,86,39.25,23,39,32,27,38,51,24,11
3,2,6,111,38.65,32,20,14,30,22,44,48,7
12,2,9,4,38.65,55,54,32,18,37,31,38,13
4,8,6,111,39.25,26,14,46,55,43,14,47,15
3,8,6,33,39.25,39,37,34,52,50,14,14,5
4,8,9,117,39.25,49,19,54,34,14,14,43,0
12,8,6,7,39.25,34,54,49,35,14,38,50,0
12,8,9,78,39.25,32,20,36,30,47,47,33,7
3,8,6,115,39.25,39,52,37,34,54,38,33,5
4,2,6,79,38.65,17,45,42,32,43,14,36,1
4,8,6,75,39.25,18,14,55,26,14,51,44,15
3,2,6,45,38.65,49,19,34,54,14,48,51,0
3,2,6,95,38.65,34,52,37,39,36,14,33,5
4,2,6,9,38.65,17,45,42,32,36,24,31,1
12,8,9,12,39.25,49,19,34,54,44,41,14,0
12,2,6,97,38.65,29,55,18,26,48,29,51,15
4,2,6,36,38.65,39,27,23,32,47,47,38,11
12,2,6,30,38.65,26,55,46,51,44,33,33,15
12,8,9,1,39.25,20,36,32,30,54,33,14,7
3,8,6,9,39.25,32,54,55,18,41,38,25,13
12,2,9,16,38.65,34,52,37,39,24,29,50,5
4,8,6,108,39.25,18,46,14,55,21,14,38,15
3,8,6,1,39.25,26,55,46,18,48,41,29,15
3,2,6,110,38.65,32,40,53,16,35,25,51,10
12,8,9,77,39.25,26,18,55,46,50,47,51,15
4,2,6,110,38.65,26,55,46,18,33,36,14,15
3,2,6,99,38.65,18,32,55,54,47,31,22,13
3,8,9,73,39.25,34,49,19,14,14,14,44,0
12,2,9,42,38.65,27,32,39,23,14,33,38,11
12,2,6,117,38.65,39,37,34,52,14,43,28,5
4,8,6,43,39.25,53,16,40,32,33,37,28,10
3,2,9,102,38.65,27,23,32,39,21,25,29,11
12,8,6,62,39.25,26,55,46,18,36,33,50,15
12,8,6,88,39.25,52,39,37,34,14,14,33,5
12,8,6,63,39.25,45,42,17,32,14,14,22,1
4,2,6,83,38.65,17,45,42,32,24,25,41,1
4,2,6,119,38.65,18,55,32,54,35,51,22,13
3,2,6,79,38.65,17,33,45,42,14,36,25,1
3,8,6,18,39.25,17,45,42,32,29,14,14,1
12,2,9,55,38.65,32,20,36,30,14,41,21,7
12,2,6,50,38.65,40,16,53,32,31,36,22,10
4,2,6,39,38.65,17,45,14,32,14,14,14,1
12,8,9,13,39.25,18,55,31,54,43,21,14,13
12,8,6,102,39.25,32,45,50,42,43,41,25,1
3,2,9,113,38.65,27,32,23,39,38,48,22,11
3,2,9,113,38.65,35,54,49,14,14,37,33,0
12,8,6,35,39.25,32,40,16,53,44,14,14,10
12,2,9,44,38.65,34,52,37,39,14,22,51,5
12,8,6,88,39.25,18,46,26,55,47,24,14,15
12,2,6,108,38.65,30,36,32,20,48,44,24,7
3,2,9,60,38.65,26,18,55,46,41,41,44,15
4,8,6,5,39.25,32,20,36,30,48,41,14,7
12,2,9,52,38.65,23,39,32,27,35,31,33,11
3,2,6,110,38.65,32,30,20,36,50,14,33,7
3,8,6,95,39.25,23,27,39,32,35,35,38,11
12,8,6,34,39.25,18,46,55,26,47,29,47,15
4,2,6,113,38.65,41,31,53,16,51,14,21,10
12,2,6,32,38.65,27,14,32,39,43,22,14,11
3,8,6,33,39.25,36,48,32,54,54,47,24,13
3,8,6,86,39.25,32,20,36,30,41,43,14,7
4,2,6,84,38.65,23,39,32,27,51,48,14,11
3,8,6,16,39.25,34,39,52,37,50,28,22,5
4,2,6,103,38.65,38,55,46,18,35,14,31,15
3,2,9,11,38.65,55,18,32,54,14,50,24,13
12,8,6,121,39.25,20,25,30,36,47,14,29,7
3,8,9,29,39.25,18,55,32,54,31,14,14,13
3,2,9,112,38.65,32,20,36,30,22,37,24,7
4,2,6,1,38.65,49,19,34,54,43,38,35,0
12,8,6,1,39.25,53,16,40,32,28,29,14,10
4,2,9,54,38.65,54,19,34,49,51,14,35,0
3,2,6,85,38.65,26,55,46,18,28,35,54,15
3,8,6,122,39.25,17,45,42,32,48,54,14,1
4,2,9,113,38.65,46,18,55,26,37,47,35,15
4,2,6,45,38.65,40,53,32,16,44,24,50,10
12,2,9,85,38.65,49,19,14,54,54,43,35,0
12,2,6,51,38.65,49,19,34,54,48,35,47,0
3,2,6,102,38.65,36,32,30,20,33,24,33,7
12,2,6,126,38.65,53,16,14,32,21,25,28,10
4,2,9,102,38.65,36,30,32,20,51,14,37,7
4,2,6,1,38.65,34,52,37,39,38,38,31,5
3,2,9,8,38.65,26,55,46,18,38,37,50,15
12,8,9,1,39.25,26,55,46,18,44,41,24,15
12,2,9,114,38.65,36,20,32,30,31,24,37,7
4,2,9,31,38.65,23,39,27,32,33,44,41,11
3,2,9,57,38.65,39,32,27,23,36,54,14,11
3,8,6,11,39.25,17,45,42,32,14,36,33,1
4,8,6,23,39.25,52,39,37,34,22,24,54,5
4,8,6,20,39.25,18,55,46,26,36,54,47,15
12,8,9,105,39.25,39,52,37,34,47,50,44,5
4,8,9,63,39.25,23,39,32,27,14,14,14,11
12,8,9,36,39.25,52,39,37,34,35,28,44,5
12,2,9,75,38.65,23,27,32,39,36,14,22,11
3,2,6,95,38.65,32,30,20,36,47,24,14,7
4,2,9,79,38.65,49,19,34,54,50,44,50,0
12,2,6,76,38.65,23,39,32,27,24,48,28,11
4,8,6,68,39.25,46,26,55,18,47,28,36,15
4,8,6,11,39.25,17,45,42,32,21,37,21,1
4,2,9,91,38.65,54,55,32,18,54,21,14,13
3,8,6,107,39.25,36,30,20,32,43,14,14,7
12,2,6,56,38.65,49,19,34,54,33,14,28,0
12,8,6,57,39.25,53,16,40,32,31,33,22,10
3,2,6,83,38.65,53,16,40,32,24,14,22,10
4,8,6,53,39.25,32,20,36,30,33,38,28,7
4,8,6,73,39.25,17,42,32,45,50,22,48,1
12,8,6,23,39.25,26,18,46,55,31,54,28,15
3,2,9,92,38.65,55,26,46,14,38,14,43,15
12,2,9,44,38.65,32,39,27,23,44,54,54,11
3,2,6,91,38.65,55,26,46,18,14,37,14,15
4,2,9,64,38.65,26,55,18,38,48,31,43,15
12,8,6,38,39.25,40,32,53,16,41,38,50,10
12,8,6,103,39.25,17,45,42,32,21,14,14,1
12,2,6,44,38.65,18,46,26,37,48,47,54,15
4,8,6,100,39.25,17,14,44,32,47,22,33,1
12,8,9,6,39.25,26,55,46,18,28,43,14,15
4,2,9,25,38.65,36,20,32,30,36,37,29,7
12,2,6,6,38.65,32,53,40,16,43,47,14,10
3,8,9,96,39.25,39,34,37,52,36,14,14,5
12,2,6,122,38.65,26,55,35,18,24,29,14,15
3,8,9,68,39.25,19,49,34,54,36,50,14,0
3,8,9,30,39.25,32,20,36,30,38,14,24,7
3,2,9,106,38.65,34,52,37,39,51,36,14,5
3,8,9,63,39.25,34,52,37,39,14,22,35,5
3,2,6,104,38.65,20,32,36,30,21,50,14,7
12,8,6,23,39.25,23,39,32,27,14,14,36,11
3,2,6,112,38.65,49,19,34,54,14,29,37,0
12,8,6,13,39.25,18,55,32,54,24,38,22,13
3,8,9,89,39.25,23,14,32,27,24,33,47,11
3,2,6,94,38.65,35,16,40,32,38,14,14,10
3,2,9,22,38.65,26,47,14,18,43,48,54,15
12,8,6,16,39.25,32,20,36,30,41,24,50,7
4,2,9,90,38.65,23,39,32,27,29,47,14,11
12,8,9,96,39.25,27,39,23,32,44,33,43,11
3,8,6,74,39.25,17,45,14,32,38,37,33,1
12,2,6,86,38.65,17,45,42,32,24,21,37,1
12,2,6,16,38.65,46,55,26,35,31,31,50,15
4,8,6,99,39.25,17,45,42,32,29,33,28,1
12,8,9,62,39.25,46,26,55,44,14,50,36,15
4,8,6,111,39.25,32,18,54,55,14,36,14,13
4,8,9,35,39.25,32,54,55,18,25,43,28,13
4,2,6,94,38.65,20,32,36,30,14,14,33,7
3,8,6,27,39.25,32,27,23,39,21,37,47,11
4,8,9,117,39.25,26,55,14,18,14,14,14,15
4,8,6,33,39.25,27,39,23,32,41,47,41,11
12,2,9,107,38.65,24,37,50,34,25,44,14,5
12,8,9,105,39.25,27,23,32,39,47,22,33,11
4,2,6,50,38.65,18,55,32,54,14,14,43,13
12,2,6,1,38.65,39,32,14,27,31,21,14,11
12,8,6,32,39.25,17,45,42,32,14,48,14,1
3,8,6,35,39.25,46,26,55,18,28,21,37,15
12,8,6,98,39.25,23,39,32,27,50,29,14,11
4,8,6,40,39.25,54,18,32,55,36,48,21,13
3,2,6,33,38.65,23,32,27,39,21,14,35,11
12,8,6,78,39.25,32,39,23,27,14,35,31,11
12,8,6,103,39.25,26,55,46,18,14,28,41,15
3,8,6,105,39.25,49,14,34,54,43,50,14,0
4,2,6,3,38.65,16,40,32,53,43,24,41,10
3,2,9,10,38.65,55,46,18,26,44,37,14,15
4,8,9,1,39.25,34,39,52,37,29,14,28,5
12,8,9,62,39.25,39,23,27,32,14,14,14,11
12,8,6,100,39.25,23,39,32,27,31,50,33,11
3,8,9,68,39.25,34,29,37,39,47,36,41,5
4,2,9,31,38.65,39,37,34,52,14,37,25,5
12,2,9,90,38.65,39,34,37,52,14,25,22,5
4,2,9,18,38.65,23,39,32,27,14,38,43,11
4,8,6,38,39.25,39,52,14,34,38,24,14,5
4,8,6,104,39.25,34,52,37,14,33,22,14,5
3,2,6,119,38.65,32,54,55,18,14,14,25,13
3,8,9,113,39.25,18,55,26,46,14,35,25,15
3,2,6,104,38.65,17,45,42,32,24,35,14,1
4,2,9,95,38.65,23,39,32,27,29,51,38,11
4,2,6,23,38.65,27,23,39,32,35,22,54,11
3,2,9,106,38.65,18,55,26,46,54,54,14,15
3,2,6,59,38.65,36,32,20,30,29,14,14,7
4,8,6,93,39.25,34,52,37,39,51,14,14,5
4,2,6,52,38.65,39,52,37,34,24,14,21,5
3,2,6,90,38.65,32,20,36,30,37,14,35,7
3,8,6,91,39.25,26,55,46,18,14,14,38,15
3,2,6,56,38.65,43,55,46,18,14,47,51,15
4,8,6,87,39.25,45,17,42,32,38,24,50,1
12,2,9,74,38.65,54,55,18,32,51,29,41,13
3,8,9,93,39.25,37,34,14,52,14,43,41,5
3,8,6,73,39.25,26,55,46,18,14,14,14,15
4,8,6,41,39.25,16,14,53,32,47,36,37,10
3,8,9,1,39.25,39,37,52,34,14,51,43,5
12,8,6,106,39.25,32,20,36,30,33,14,47,7
4,2,6,26,38.65,18,55,32,54,14,14,44,13
4,2,6,114,38.65,42,32,14,17,28,47,41,1
3,8,6,78,39.25,27,23,32,39,24,43,33,11
3,8,6,3,39.25,32,42,17,45,14,14,14,1
12,2,9,10,38.65,26,55,46,18,14,14,14,15
12,8,9,36,39.25,46,55,26,18,14,51,36,15
4,2,9,89,38.65,39,52,34,37,38,37,51,5
4,8,6,23,39.25,23,39,32,27,36,51,31,11
4,8,9,82,39.25,38,39,32,27,37,37,24,11
4,2,9,13,38.65,18,55,32,54,14,33,50,13
12,8,6,114,39.25,52,37,39,14,48,51,48,5
4,2,6,41,38.65,53,16,40,32,14,14,14,10
4,8,9,103,39.25,18,55,32,54,29,37,14,13
4,2,9,79,38.65,34,52,21,39,51,25,36,5
4,8,9,54,39.25,20,36,30,14,51,24,36,7
3,2,6,58,38.65,32,42,17,45,36,29,47,1
3,8,6,31,39.25,18,55,32,54,44,25,14,13
4,2,9,71,38.65,23,39,32,27,41,14,47,11
3,8,6,64,39.25,27,39,23,32,54,14,41,11
4,8,9,106,39.25,26,55,46,18,37,14,22,15
3,8,6,68,39.25,52,34,39,37,54,14,29,5
4,8,9,91,39.25,23,39,32,27,41,14,47,11
3,2,9,50,38.65,27,32,23,39,38,24,31,11
4,8,9,80,39.25,52,34,37,39,33,43,38,5
4,8,6,47,39.25,32,28,40,53,14,14,14,10
12,2,9,108,38.65,32,20,36,30,14,37,21,7
3,8,9,74,39.25,23,39,32,27,48,48,44,11
3,2,6,85,38.65,32,20,36,30,41,36,29,7
12,8,6,29,39.25,17,45,42,32,31,14,51,1
12,8,9,38,39.25,36,32,20,30,51,47,14,7
4,2,9,69,38.65,26,55,37,18,14,14,43,15
3,8,6,52,39.25,32,36,20,37,48,38,48,7
4,8,6,113,39.25,34,52,37,39,48,25,21,5
4,2,6,4,38.65,37,39,34,52,28,43,48,5
3,2,6,58,38.65,16,32,40,53,36,21,21,10
12,8,6,62,39.25,52,34,39,37,21,37,22,5
12,2,9,112,38.65,23,39,32,27,48,33,14,11
4,8,9,1,39.25,18,55,46,26,14,14,29,15
4,2,6,87,38.65,32,14,53,40,38,28,38,10
12,8,9,77,39.25,55,26,46,18,14,51,28,15
3,2,6,10,38.65,34,52,37,39,31,35,33,5
4,2,9,63,38.65,26,55,46,18,31,25,14,15
12,2,6,42,38.65,32,20,36,30,35,22,14,7
12,2,6,37,38.65,18,55,32,54,47,29,28,13
12,2,9,66,38.65,34,52,37,39,48,38,14,5
3,8,6,57,39.25,26,55,46,18,54,50,35,15
3,8,9,25,39.25,23,39,32,27,50,22,50,11
12,8,9,38,39.25,23,39,32,27,50,37,37,11
3,2,9,2,38.65,34,52,39,37,37,43,36,5
4,8,6,30,39.25,32,20,36,30,14,33,29,7
4,2,6,103,38.65,17,45,14,32,44,54,14,1
3,8,9,79,39.25,18,55,32,54,50,38,29,13
12,2,9,107,38.65,32,55,18,54,35,54,14,13
12,2,9,41,38.65,30,36,32,20,25,44,14,7
4,2,9,37,38.65,54,18,32,55,14,28,41,13
4,8,6,68,39.25,49,19,34,54,14,54,14,0
12,8,9,13,39.25,18,41,14,54,35,14,14,13
12,2,9,102,38.65,55,26,18,46,24,14,38,15
3,2,9,26,38.65,18,55,32,54,54,51,24,13
4,8,6,56,39.25,35,32,45,17,37,41,29,1
4,2,9,7,38.65,18,55,32,54,14,21,14,13
12,2,6,3,38.65,52,34,37,39,14,48,47,5
4,8,6,74,39.25,53,16,40,32,28,35,14,10
4,2,9,40,38.65,32,18,55,54,43,36,14,13
12,2,6,52,38.65,53,40,32,16,24,28,14,10
3,8,6,6,39.25,37,19,34,54,14,41,14,0
3,2,9,63,38.65,23,39,32,27,14,14,14,11
12,2,9,55,38.65,36,20,30,32,54,21,14,7
3,2,9,11,38.65,18,54,32,55,21,44,14,13
3,2,6,73,38.65,26,55,46,18,25,38,14,15
4,8,6,44,39.25,23,39,32,27,14,24,14,11
4,8,9,81,39.25,26,46,55,18,44,51,44,15
4,8,9,101,39.25,34,52,43,39,22,51,14,5
3,8,6,59,39.25,32,30,36,20,14,36,22,7
3,8,6,109,39.25,17,45,42,32,35,28,14,1
3,2,6,95,38.65,40,53,32,16,43,50,21,10
3,8,9,100,39.25,23,39,32,27,48,29,38,11
4,8,6,101,39.25,17,45,42,32,44,44,33,1
4,2,9,90,38.65,34,52,37,39,21,22,14,5
3,2,6,54,38.65,26,55,46,18,14,29,41,15
3,8,9,67,39.25,26,55,46,18,33,21,44,15
4,8,6,53,39.25,54,34,19,49,54,38,14,0
4,2,6,18,38.65,42,17,32,45,47,31,29,1
12,2,6,80,38.65,23,39,32,27,41,36,37,11
4,2,6,25,38.65,19,34,54,49,54,36,50,0
4,2,6,106,38.65,34,52,37,39,14,51,14,5
3,2,6,111,38.65,17,32,45,14,50,28,14,1
12,8,6,6,39.25,36,32,20,30,44,14,22,7
4,2,9,76,38.65,34,52,37,39,36,31,14,5
4,8,9,20,39.25,34,39,37,52,48,37,14,5
12,2,9,67,38.65,18,55,32,54,36,24,14,13
3,2,9,28,38.65,37,34,52,39,51,31,48,5
3,2,6,10,38.65,34,49,54,19,29,51,31,0
12,8,6,5,39.25,34,52,37,39,48,38,36,5
4,2,9,24,38.65,18,55,32,54,29,37,14,13
12,8,6,120,39.25,54,32,55,18,31,50,14,13
4,2,6,73,38.65,23,27,54,32,14,28,36,11
12,2,6,36,38.65,53,40,32,16,47,35,14,10
12,2,6,117,38.65,23,39,32,27,54,41,54,11
3,2,6,16,38.65,42,32,17,14,28,51,51,1
4,2,6,47,38.65,18,54,55,32,24,24,48,13
4,2,9,15,38.65,26,55,46,18,51,44,29,15
12,2,6,95,38.65,54,32,18,55,28,41,25,13
4,2,6,120,38.65,17,45,42,32,36,14,24,1
4,8,9,89,39.25,20,30,32,36,31,14,29,7
4,2,6,87,38.65,26,55,46,18,14,47,21,15
12,2,9,115,38.65,32,20,36,30,31,29,50,7
12,8,6,6,39.25,53,16,40,38,22,14,14,10
12,8,6,58,39.25,49,54,19,34,37,37,43,0
4,8,9,55,39.25,34,39,37,14,24,36,25,5
3,2,6,46,38.65,45,32,17,42,48,14,50,1
12,2,9,60,38.65,32,18,55,54,25,14,48,13
3,8,6,8,39.25,23,39,32,27,47,14,29,11
4,8,9,24,39.25,26,55,46,18,41,14,38,15
12,2,6,51,38.65,39,37,52,48,33,28,43,5
3,8,9,17,39.25,34,52,37,39,54,14,35,5
3,2,9,29,38.65,34,39,52,37,31,33,14,5
12,8,6,78,39.25,17,45,42,32,25,14,14,1
3,2,6,11,38.65,52,22,37,34,22,54,29,5
3,8,6,9,39.25,37,39,52,34,14,48,51,5
4,2,9,102,38.65,34,52,37,39,14,14,24,5
3,8,6,80,39.25,45,32,17,42,38,36,14,1
4,8,9,27,39.25,52,39,34,37,14,48,14,5
12,8,6,98,39.25,20,30,36,32,14,36,37,7
12,8,6,59,39.25,18,55,32,54,54,54,21,13
3,8,6,56,39.25,53,16,40,32,37,44,31,10
3,8,6,90,39.25,26,55,14,18,44,41,50,15
4,8,6,23,39.25,23,39,27,32,44,43,21,11
12,8,9,74,39.25,32,20,36,30,41,14,22,7
3,8,6,63,39.25,17,45,42,32,28,24,35,1
12,8,9,111,39.25,19,49,54,34,14,31,24,0
4,2,6,85,38.65,23,39,32,27,14,35,43,11
12,2,9,85,38.65,27,23,32,39,14,24,36,11
12,8,9,92,39.25,23,39,32,27,43,38,48,11
12,2,6,88,38.65,17,45,14,32,14,31,14,1
4,8,6,33,39.25,26,55,46,18,37,33,33,15
4,8,6,39,39.25,38,55,32,54,14,14,14,13
4,2,9,57,38.65,20,32,30,36,43,33,47,7
3,8,6,16,39.25,17,45,42,14,37,14,54,1
4,2,6,101,38.65,23,39,32,27,14,14,21,11
12,8,6,100,39.25,26,55,46,14,35,47,43,15
4,8,6,74,39.25,32,39,27,31,14,43,37,11
4,2,6,1,38.65,30,20,32,36,31,24,24,7
3,2,6,23,38.65,34,52,37,39,41,28,37,5
3,8,9,65,39.25,34,19,54,49,25,50,24,0
3,8,9,83,39.25,23,39,32,27,14,41,33,11
12,8,9,60,39.25,54,19,49,34,29,33,14,0
3,8,9,55,39.25,34,52,37,39,41,37,37,5
4,2,9,108,38.65,36,32,20,30,14,35,38,7
12,2,6,57,38.65,17,45,42,32,41,14,38,1
12,8,6,67,39.25,17,45,42,32,54,48,25,1
3,2,6,7,38.65,55,54,18,32,22,25,36,13
3,2,9,82,38.65,34,14,39,37,35,47,31,5
12,8,6,52,39.25,53,16,40,32,28,35,35,10
3,2,6,17,38.65,54,55,18,32,48,47,22,13
4,8,9,52,39.25,32,30,36,20,29,44,54,7
3,2,6,14,38.65,25,45,42,32,14,24,24,1
3,2,6,95,38.65,32,55,54,18,14,47,31,13
4,8,6,26,39.25,34,49,54,19,33,35,29,0
4,8,6,87,39.25,54,49,34,19,29,31,29,0
12,8,9,48,39.25,18,55,32,54,21,54,31,13
4,8,6,29,39.25,42,45,32,17,28,31,14,1
3,2,9,87,38.65,49,19,54,34,31,35,36,0
12,8,6,94,39.25,32,20,36,30,38,14,54,7
4,2,9,93,38.65,27,23,32,39,41,33,37,11
4,8,6,17,39.25,42,17,32,45,21,22,44,1
4,2,9,96,38.65,26,55,46,18,38,38,25,15
3,8,9,105,39.25,18,55,32,54,31,35,14,13
4,8,9,45,39.25,23,39,32,41,44,25,41,11
4,2,9,103,38.65,34,37,52,39,14,29,14,5
12,2,6,104,38.65,42,17,45,32,25,36,48,1
12,8,6,53,39.25,23,14,27,39,33,38,48,11
3,8,6,19,39.25,52,39,37,34,41,24,35,5
12,2,9,90,38.65,49,19,34,54,14,43,33,0
4,2,9,60,38.65,52,39,44,37,25,14,28,5
3,8,6,50,39.25,34,52,37,39,36,36,54,5
4,2,6,22,38.65,18,32,54,55,14,14,37,13
3,8,9,13,39.25,26,55,46,18,35,35,44,15
4,2,6,38,38.65,26,55,18,46,14,14,38,15
3,8,6,23,39.25,30,20,32,36,43,37,14,7
3,8,6,72,39.25,17,45,42,32,38,28,36,1
4,2,6,58,38.65,42,17,32,45,48,22,37,1
4,2,6,15,38.65,32,20,36,30,25,14,36,7
3,8,9,99,39.25,32,20,36,30,14,38,51,7
12,8,9,18,39.25,49,19,14,54,14,38,41,0
4,2,9,83,38.65,38,32,20,30,35,31,14,7
4,8,9,3,39.25,27,39,32,23,54,14,54,11
3,8,9,66,39.25,52,37,39,34,29,25,25,5
12,2,6,42,38.65,32,17,42,45,14,14,14,1
12,8,9,124,39.25,52,37,34,39,54,29,37,5
4,2,6,71,38.65,26,55,18,46,38,44,14,15
3,2,6,37,38.65,34,37,39,52,14,14,29,5
12,2,9,73,38.65,26,55,46,18,33,29,14,15
12,2,6,76,38.65,20,36,32,30,38,51,14,7
12,8,6,46,39.25,17,32,42,45,28,38,43,1
3,2,6,50,38.65,27,35,32,23,35,25,35,11
4,8,9,1,39.25,34,52,37,39,35,51,31,5
4,2,6,23,38.65,34,54,19,14,28,43,31,0
3,2,6,8,38.65,54,14,49,34,36,41,43,0
4,2,9,108,38.65,52,39,34,37,38,43,54,5
12,2,9,94,38.65,39,52,14,37,14,48,47,5
12,8,9,1,39.25,39,52,34,37,50,47,35,5
12,8,9,29,39.25,18,14,28,54,44,14,14,13
4,2,6,54,38.65,32,23,39,27,43,38,50,11
3,8,6,28,39.25,55,32,18,54,54,41,14,13
3,2,6,108,38.65,23,39,32,27,48,14,14,11
3,2,6,81,38.65,45,17,32,42,22,14,43,1
12,2,9,72,38.65,37,52,34,39,43,14,22,5
3,2,6,79,38.65,34,52,37,39,14,38,48,5
3,2,9,1,38.65,32,20,36,30,14,25,35,7
3,8,6,123,39.25,53,16,40,32,14,51,14,10
4,2,6,25,38.65,17,45,42,32,43,50,14,1
3,8,6,69,39.25,32,17,45,42,14,14,29,1
4,2,9,113,38.65,20,36,32,30,28,31,29,7
12,8,9,8,39.25,49,54,34,19,35,54,41,0
3,8,9,101,39.25,34,52,37,39,37,44,43,5
4,8,6,70,39.25,17,45,42,32,41,37,14,1
4,2,9,19,38.65,49,19,34,54,29,29,14,0
4,8,6,98,39.25,26,14,46,18,24,54,25,15
12,8,6,87,39.25,33,20,36,30,28,14,50,7
12,8,6,79,39.25,32,55,54,18,14,31,14,13
12,2,6,81,38.65,49,54,34,19,14,14,47,0
4,2,6,64,38.65,49,19,34,54,41,44,25,0
3,2,9,61,38.65,23,14,32,27,25,43,22,11
12,8,9,25,39.25,49,19,34,54,14,14,14,0
3,2,9,44,38.65,34,52,37,33,14,25,14,5
4,8,9,93,39.25,32,20,14,29,35,24,14,7
3,2,6,96,38.65,27,32,23,39,36,47,50,11
